pro,city,code,pro_code,city_code,city,lat,lon,纬度,经度,最近距离千米,最近港口,
辽宁省,大连市,36,21,210200,大连市,38.9146,121.619,38.9146,121.619,3.8857816,大连港,
辽宁省,沈阳市,35,21,210100,沈阳市,41.7968,123.429,41.7968,123.429,200.95848,营口港,
辽宁省,鞍山市,37,21,210300,鞍山市,41.1106,122.996,41.1106,122.996,117.94809,营口港,
辽宁省,营口市,42,21,210800,营口市,40.6674,122.235,40.6674,122.235,43.991179,营口港,
辽宁省,辽阳市,44,21,211000,辽阳市,41.2694,123.182,41.2694,123.182,141.46711,营口港,
辽宁省,抚顺市,38,21,210400,抚顺市,41.876,123.921,41.876,123.921,206.96775,丹东港,
辽宁省,本溪市,39,21,210500,本溪市,41.2979,123.771,41.2979,123.771,147.83723,丹东港,
辽宁省,丹东市,40,21,210600,丹东市,40.1243,124.383,40.1243,124.383,9.4208384,丹东港,
辽宁省,铁岭市,46,21,211200,铁岭市,42.2906,123.844,42.2906,123.844,253.47271,丹东港,
吉林省,长春市,49,22,220100,长春市,43.8868,125.325,43.8868,125.325,434.89968,丹东港,
吉林省,吉林市,50,22,220200,吉林市,43.8436,126.553,43.8436,126.553,460.11395,丹东港,
吉林省,四平市,51,22,220300,四平市,43.1703,124.371,43.1703,124.371,347.71986,丹东港,
吉林省,辽源市,52,22,220400,辽源市,42.9027,125.145,42.9027,125.145,324.76581,丹东港,
吉林省,通化市,53,22,220500,通化市,41.7212,125.937,41.7212,125.937,229.32343,丹东港,
吉林省,白山市,54,22,220600,白山市,41.9425,126.428,41.9425,126.428,273.82807,丹东港,
吉林省,松原市,55,22,220700,松原市,45.1182,124.824,45.1182,124.824,565.63729,丹东港,
吉林省,延边朝鲜族自治州,57,22,222400,延边朝鲜族自治州,42.9048,129.513,42.9048,129.513,534.81468,丹东港,
黑龙江省,哈尔滨市,58,23,230100,哈尔滨市,45.757,126.642,45.757,126.642,662.10546,丹东港,
黑龙江省,鸡西市,60,23,230300,鸡西市,45.3,130.976,45.3,130.976,796.34727,丹东港,
黑龙江省,鹤岗市,61,23,230400,鹤岗市,47.3321,130.277,47.3321,130.277,939.52048,丹东港,
黑龙江省,双鸭山市,62,23,230500,双鸭山市,46.6434,131.157,46.6434,131.157,916.59638,丹东港,
黑龙江省,伊春市,64,23,230700,伊春市,47.7248,128.899,47.7248,128.899,928.25212,丹东港,
黑龙江省,佳木斯市,65,23,230800,佳木斯市,46.8096,130.362,46.8096,130.362,894.77396,丹东港,
黑龙江省,七台河市,66,23,230900,七台河市,45.7713,131.016,45.7713,131.016,836.25769,丹东港,
黑龙江省,牡丹江市,67,23,231000,牡丹江市,44.583,129.619,44.583,129.619,664.87832,丹东港,
黑龙江省,黑河市,68,23,231100,黑河市,50.2496,127.499,50.2496,127.499,1161.1592,丹东港,
黑龙江省,绥化市,69,23,231200,绥化市,46.6374,126.993,46.6374,126.993,763.61404,丹东港,
内蒙古自治区,赤峰市,26,15,150400,赤峰市,42.2753,118.957,42.2753,118.957,237.60539,锦州港,
内蒙古自治区,通辽市,27,15,150500,通辽市,43.6174,122.263,43.6174,122.263,327.09825,锦州港,
内蒙古自治区,呼伦贝尔市,29,15,150700,呼伦贝尔市,49.2153,119.758,49.2153,119.758,939.22225,锦州港,
内蒙古自治区,兴安盟,32,15,152200,兴安盟,46.0763,122.07,46.0763,122.07,590.57384,锦州港,
辽宁省,锦州市,41,21,210700,锦州市,41.1193,121.136,41.1193,121.136,34.431122,锦州港,
辽宁省,阜新市,43,21,210900,阜新市,42.0118,121.649,42.0118,121.649,142.04674,锦州港,
辽宁省,盘锦市,45,21,211100,盘锦市,41.1245,122.07,41.1245,122.07,92.607363,锦州港,
辽宁省,朝阳市,47,21,211300,朝阳市,41.5768,120.451,41.5768,120.451,97.9636,锦州港,
辽宁省,葫芦岛市,48,21,211400,葫芦岛市,40.7556,120.856,40.7556,120.856,17.308123,锦州港,
吉林省,白城市,56,22,220800,白城市,45.619,122.841,45.619,122.841,553.35572,锦州港,
黑龙江省,齐齐哈尔市,59,23,230200,齐齐哈尔市,47.3481,123.953,47.3481,123.953,762.27945,锦州港,
黑龙江省,大庆市,63,23,230600,大庆市,46.5907,125.113,46.5907,125.113,720.20857,锦州港,
黑龙江省,大兴安岭地区,70,23,232700,大兴安岭地区,52.3353,124.712,52.3353,124.712,1310.5994,锦州港,
河北省,唐山市,2,13,130200,唐山市,39.6351,118.175,39.6351,118.175,81.432772,天津港,
河北省,保定市,6,13,130600,保定市,38.8677,115.482,38.8677,115.482,196.2795,天津港,
河北省,张家口市,7,13,130700,张家口市,40.8119,114.884,40.8119,114.884,317.79412,天津港,
河北省,廊坊市,10,13,131000,廊坊市,39.5292,116.714,39.5292,116.714,107.69602,天津港,
山西省,太原市,12,14,140100,太原市,37.857,112.549,37.857,112.549,469.66999,天津港,
山西省,大同市,13,14,140200,大同市,40.0903,113.295,40.0903,113.295,401.05981,天津港,
山西省,朔州市,17,14,140600,朔州市,39.3313,112.433,39.3313,112.433,459.69757,天津港,
山西省,忻州市,20,14,140900,忻州市,38.4177,112.734,38.4177,112.734,439.40935,天津港,
山西省,吕梁市,22,14,141100,吕梁市,37.5244,111.134,37.5244,111.134,599.53865,天津港,
内蒙古自治区,呼和浩特市,23,15,150100,呼和浩特市,40.8183,111.671,40.8183,111.671,556.85474,天津港,
内蒙古自治区,包头市,24,15,150200,包头市,40.6582,109.84,40.6582,109.84,700.18818,天津港,
内蒙古自治区,乌海市,25,15,150300,乌海市,39.6737,106.826,39.6737,106.826,941.83454,天津港,
内蒙古自治区,鄂尔多斯市,28,15,150600,鄂尔多斯市,39.8172,109.99,39.8172,109.99,672.66623,天津港,
内蒙古自治区,巴彦淖尔市,30,15,150800,巴彦淖尔市,40.7574,107.417,40.7574,107.417,902.76694,天津港,
内蒙古自治区,乌兰察布市,31,15,150900,乌兰察布市,41.0341,113.115,41.0341,113.115,455.58306,天津港,
内蒙古自治区,阿拉善盟,34,15,152900,阿拉善盟,38.8448,105.706,38.8448,105.706,1041.0779,天津港,
陕西省,榆林市,291,61,610800,榆林市,38.2902,109.741,38.2902,109.741,699.32662,天津港,
